"FSC-A","SSC-A","Comp-APC-A","Comp-FITC-A","Comp-PE-Texas Red-A","Time"
93512.1,44539.2,48.5692,295.392,146.605,0.606732
109861,68497,41.1132,458.628,202.354,0.606963
67373.5,60342.1,-1.46344,237.95,120.534,0.609001
83092,35093,-0.0587938,254.323,112.016,0.609727
49079.5,50363.9,-18.9053,113.517,67.7772,0.611452
61384.9,51875.5,-25.3833,155.9,37.7242,0.612271
100656,50645.4,54.6139,298.837,135.707,0.613605
45091.4,33702.2,19.8308,180.143,111.033,0.614616
81660.8,79006.1,5.73321,390.964,219.899,0.614908
83081.3,77976.4,7.14619,218.619,123.153,0.616218
110201,76725.9,152.403,452.732,225.05,0.616773
109199,56324.7,11.4796,319.543,132.244,0.618168
116738,72988.5,4889.38,342.206,130.741,0.618319
93990.4,50726.7,-11.153,249.295,104.733,0.618578
87335.3,67822.5,44.371,290.677,95.1412,0.618859
67086.2,72601.4,43.7604,194.231,110.245,0.619073
59553.7,52886.5,20742.2,298.345,147.844,0.620265
103949,65138.1,6.03056,441.748,185.081,0.62121
91306.4,64495.2,10.1076,399.895,237.778,0.622771
58411.6,35628.1,12.2909,238.447,109.655,0.623125
84178,50210.2,710.681,371.256,150.451,0.623554
61996,37557.6,20.9155,225.306,147.062,0.625823
103106,51337.6,-2.6235,292.155,115.622,0.626384
99658.8,55666.3,8.57419,309.514,152.666,0.627136
108232,75858.1,26.4888,364.859,140.473,0.629342
68791.7,53351.3,52280.2,239.937,142.562,0.631896
50024.2,47675.6,3196.75,4950.54,60.9647,0.633264
107209,64235.4,14349.9,396.366,127.929,0.634547
92645.3,45746.4,4.85523,234.543,80.3953,0.637508
108595,57372.8,75.3141,249.012,68.7122,0.637745
90456.8,63634.9,3.75076,356.922,165.354,0.639269
90527.6,31187.2,13.2362,234.188,132.506,0.640598
123475,70531.5,-0.690273,443.259,236.236,0.642912
96056.8,37145.9,16.824,298.626,91.458,0.646146
64689.2,32967.7,93.4642,213.848,69.0462,0.651688
77722.1,45383.2,24.5125,251.987,105.324,0.65404
38288.2,39928.1,11.0122,163.297,96.5218,0.655798
54554.9,54748.4,246.48,194.231,87.9043,0.665039
54349.6,47411.1,8.56993,210.927,89.2866,0.671319
95740.9,44744,2.80298,313.303,114.835,0.671848
57467.1,52115.9,-28.7604,249.508,143.866,0.673785
135839,64819.9,20.3781,441.198,112.737,0.674646
61618.2,43343.7,95148,739.438,151.298,0.676698
114063,51406.7,19.6437,440.098,205.067,0.677342
74412.1,36245.1,6751.49,451.703,170.422,0.680526
49658.7,57847.2,343.945,233.833,125.509,0.686221
103169,47633.2,37.6935,336.338,95.0097,0.686835
40718.1,54817.4,40.4959,271.078,142.301,0.689078
82563.5,29618.7,2506.1,234.117,104.405,0.689671
95821.7,41069.2,-28.4778,215.558,77.165,0.689696
88401.9,47790.6,182.786,322.205,146.671,0.695729
45813.9,51013.2,102027,917.71,185.146,0.697913
99477.7,54901.7,33.5595,349.813,185.988,0.7021
99455.3,59072.9,18.3916,314.145,110.245,0.702205
118035,50386,-26.1784,270.09,98.8879,0.702796
66513.3,77769.4,24.2169,216.554,179.831,0.703426
105226,39865.7,-7.24209,290.396,111.164,0.705019
81215.5,71623.9,126.1,378.203,134.074,0.705882
77360.1,64213,13.9049,243.342,128.845,0.707168
50486.9,52850.4,99.963,281.731,162.103,0.708356
95220.7,83203.4,-6.64353,366.806,211.262,0.708905
123549,63218.5,55.7212,400.794,154.099,0.710409
95567.5,65390.1,26.0278,360.056,112.213,0.710428
110108,54950.5,-6.50699,331.794,114.573,0.710949
85232.5,57498.4,144.231,205.153,124.527,0.711104
110790,56210.7,35.4354,421.788,200.997,0.713187
75418,71699.7,89.6852,275.243,191.815,0.713217
84401.5,40320.8,646.579,301.227,135.054,0.714004
92865.7,47304.2,-56.4905,296.236,99.8078,0.714031
72875.8,46506.6,9.1433,232.839,100.925,0.714511
76585.6,54772.5,1.10026,314.706,134.335,0.715445
55569.9,40872.4,9692.92,276.372,134.662,0.716018
62792.4,53720.8,30.635,326.826,124.2,0.716303
86964.6,44783.5,-3.72887,335.5,125.705,0.718613
55818.2,56121.1,14157.1,515.172,87.7068,0.718694
47049.8,57260.8,5191.14,226.373,91.7212,0.721384
86910.4,45454.4,-29.8563,284.198,115.753,0.721624
78929.1,71439.9,72.2828,303.054,113.721,0.723172
66063.9,55119.2,283.033,199.159,81.3839,0.725384
104801,45421.4,-0.518547,307.619,151.363,0.725573
65641.1,80070.7,-4.23315,370.214,100.793,0.725977
71055.5,81009,23.5026,305.723,159.111,0.726327
65232.6,62626.2,461.496,256.659,127.995,0.726963
128274,72293,14.7306,462.465,208.681,0.727733
49937.4,43168.9,60.8693,184.437,69.0462,0.728043
66666,56856.2,5.53205,286.452,76.1098,0.728405
62072.8,76241.4,9.48652,220.042,74.523,0.730493
84047.2,78913.4,56.7283,266.629,147.714,0.730851
74203.6,46025.6,30159.2,2958.13,118.111,0.732519
85791.5,62630.5,25751.9,364.511,146.736,0.73385
105865,58371.7,5.7789,291.17,140.734,0.734132
92630.3,61520.4,34774.2,377.508,95.3385,0.737124
84148,62269,-5.22935,335.849,113.721,0.737777
118570,59476.2,27.3388,454.858,198.542,0.738381
123270,74089.3,8.76968,378.064,161.518,0.738738
93402.9,50565.9,25.7839,358.942,158.851,0.739852
67246.5,70015.1,3884.23,317.3,144.91,0.740105
50535.2,67077.4,1.94347,214.774,73.4543,0.740268
56098.7,73075.4,88.6891,217.409,151.233,0.74067
37210.1,47999.1,19970.7,176.06,108.146,0.741072
74876,61738.5,27.4231,270.937,164.184,0.741191
41232.9,44841.1,-5.19202,227.865,103.355,0.741361
100756,45611.7,12.0133,295.603,134.989,0.742758
52398.7,79462.6,286.466,313.443,120.534,0.745554
